,tweet_id,favorites,retweets
0,892420643555336193,33858,7023
1,892177421306343426,29360,5304
2,891815181378084864,22081,3487
3,891689557279858688,36981,7236
4,891327558926688256,35357,7773
5,891087950875897856,17832,2603
6,890971913173991426,10382,1671
7,890729181411237888,56907,15780
8,890609185150312448,24556,3628
9,890240255349198849,27989,6108
10,890006608113172480,27070,6157
11,889880896479866881,24600,4174
12,889665388333682689,42096,8359
13,889638837579907072,23711,3720
14,889531135344209921,13360,1885
15,889278841981685760,22151,4449
16,888917238123831296,25665,3769
17,888804989199671297,22494,3544
18,888554962724278272,17342,2882
19,888078434458587136,19169,2901
20,887705289381826560,26658,4542
21,887517139158093824,40777,9864
22,887473957103951883,60247,15052
23,887343217045368832,29616,8821
24,887101392804085760,26989,4998
25,886983233522544640,30425,6327
26,886736880519319552,10508,2635
27,886680336477933568,19764,3745
28,886366144734445568,18567,2634
29,886267009285017600,105,4
30,886258384151887873,24554,5298
31,886054160059072513,0,93
32,885984800019947520,28638,5622
33,885528943205470208,31629,5337
34,885518971528720385,18030,3113
35,885311592912609280,0,15458
36,885167619883638784,19278,3673
37,884925521741709313,67380,15048
38,884876753390489601,24419,4678
39,884562892145688576,21348,3918
40,884441805382717440,23888,4798
41,884247878851493888,63391,16941
42,884162670584377345,17963,2509
43,883838122936631299,19200,2867
44,883482846933004288,40255,8282
45,883360690899218434,19968,3086
46,883117836046086144,32551,5543
47,882992080364220416,21005,3250
48,882762694511734784,24832,4106
49,882627270321602560,24632,5074
50,882268110199369728,39234,9651
51,882045870035918850,25762,4091
52,881906580714921986,21463,2858
53,881666595344535552,44593,8970
54,881633300179243008,113,8
55,881536004380872706,43492,13424
56,881268444196462592,20504,4498
57,880935762899988482,15058,2337
58,880872448815771648,18728,3205
59,880465832366813184,25051,5222
60,880221127280381952,23692,3475
61,880095782870896641,24358,3660
62,879862464715927552,19727,2937
63,879674319642796034,282,9
64,879492040517615616,20721,2630
65,879415818425184262,92964,37500
66,879376492567855104,14876,2657
67,879130579576475649,0,5750
68,879050749262655488,19833,3961
69,879008229531029506,16804,2247
70,878776093423087618,17153,3443
71,878604707211726852,26465,5937
72,878404777348136964,0,1079
73,878316110768087041,0,5537
74,878281511006478336,6790,1079
75,878057613040115712,37179,5750
76,877736472329191424,69411,15845
77,877611172832227328,0,70
78,877556246731214848,19924,3174
79,877316821321428993,24186,4353
80,877201837425926144,23895,4640
81,876838120628539392,18239,2806
82,876537666061221889,21068,3978
83,876484053909872640,16585,2006
84,876120275196170240,24713,3911
85,875747767867523072,22136,3589
86,875144289856114688,19430,4161
87,875097192612077568,24266,5127
88,875021211251597312,22578,3980
89,874680097055178752,24633,3926
90,874434818259525634,0,12229
91,874296783580663808,22992,3488
92,874057562936811520,20143,3384
93,874012996292530176,30157,8602
94,873580283840344065,21412,3347
95,873337748698140672,0,1333
96,873213775632977920,6329,1333
97,872967104147763200,24112,4569
98,872820683541237760,13084,3171
99,872620804844003328,18350,3070
100,872486979161796608,36141,7729
101,872122724285648897,30264,6841
102,871879754684805121,33147,9260
103,871762521631449091,17905,2973
104,871515927908634625,17914,2948
105,871166179821445120,0,4901
106,871102520638267392,18571,4692
107,871032628920680449,20179,3233
108,870804317367881728,29841,5291
109,870726314365509632,105,3
110,870656317836468226,10902,2215
111,870374049280663552,74032,22780
112,870308999962521604,19502,3555
113,870063196459192321,32453,7086
114,869772420881756160,38074,8708
115,869702957897576449,25092,5393
116,869596645499047938,14232,2642
117,869227993411051520,18161,3203
118,868880397819494401,58056,12279
119,868639477480148993,0,1757
120,868622495443632128,23668,4485
121,868552278524837888,8983,1757
122,867900495410671616,21630,3580
123,867774946302451713,30286,6263
124,867421006826221569,14364,2119
125,867072653475098625,0,101
126,867051520902168576,28746,6797
127,866720684873056260,17897,4137
128,866686824827068416,17152,2975
129,866450705531457537,109016,30264
130,866334964761202691,46678,12229
131,866094527597207552,0,7176
132,865718153858494464,22961,4863
133,865359393868664832,23642,4300
134,865006731092295680,25071,6686
135,864873206498414592,28897,7505
136,864279568663928832,13090,2589
137,864197398364647424,26683,7600
138,863907417377173506,18468,3600
139,863553081350529029,13701,3642
140,863471782782697472,0,2093
141,863432100342583297,21343,4566
142,863427515083354112,1962,80
143,863079547188785154,7914,954
144,863062471531167744,7541,2093
145,862831371563274240,17235,4466
146,862722525377298433,15352,3093
147,862457590147678208,18304,4267
148,862096992088072192,66406,20043
149,861383897657036800,32336,9283
150,861288531465048066,15373,3596
151,861005113778896900,15020,3344
152,860981674716409858,0,1859
153,860924035999428608,0,679
154,860563773140209665,6738,1859
155,860524505164394496,21290,4612
156,860276583193509888,16609,3082
157,860184849394610176,15040,5132
158,860177593139703809,0,26804
159,859924526012018688,17663,3592
160,859851578198683649,13990,3074
161,859607811541651456,16859,1369
162,859196978902773760,80692,26340
163,859074603037188101,30495,11988
164,858860390427611136,0,7101
165,858843525470990336,14146,3032
166,858471635011153920,19523,4270
167,858107933456039936,14262,2542
168,857989990357356544,14515,2272
169,857746408056729600,30870,9370
170,857393404942143489,5316,1444
171,857263160327368704,18282,3992
172,857214891891077121,205,16
173,857062103051644929,0,148
174,857029823797047296,17080,3499
175,856543823941562368,14861,2555
176,856526610513747968,10846,1658
177,856288084350160898,488,15
178,856282028240666624,25288,5594
179,855862651834028034,303,21
180,855860136149123072,4424,853
181,855857698524602368,10873,1867
182,855851453814013952,41953,16160
183,855818117272018944,24318,4826
184,855459453768019968,27150,7321
185,855245323840757760,0,5278
186,855138241867124737,0,36
187,854732716440526848,20729,5371
188,854482394044301312,26637,6042
189,854365224396361728,17229,4166
190,854120357044912130,29284,6607
191,854010172552949760,14864,2804
192,853760880890318849,26136,5124
193,853639147608842240,31609,8904
194,853299958564483072,14197,3179
195,852936405516943360,0,1793
196,852912242202992640,8273,1604
197,852672615818899456,13675,1918
198,852553447878664193,14925,3128
199,852311364735569921,30411,8901
200,852226086759018497,18381,6109
201,852189679701164033,10591,1422
202,851591660324737024,14993,3137
203,851464819735769094,22307,6329
204,851224888060895234,19079,5184
205,850753642995093505,28213,8113
206,850380195714523136,12104,2336
207,850333567704068097,3200,301
208,850145622816686080,15080,3406
209,850019790995546112,18822,4391
210,849776966551130114,27974,6848
211,849668094696017920,0,4458
212,849412302885593088,14699,2841
213,849336543269576704,10585,1696
214,849051919805034497,39096,7657
215,848690551926992896,23320,3936
216,848324959059550208,22880,4174
217,848213670039564288,7552,649
218,848212111729840128,15067,2726
219,847978865427394560,0,2934
220,847971574464610304,0,397
221,847962785489326080,21779,4591
222,847842811428974592,5025,1194
223,847617282490613760,6478,376
224,847606175596138505,17388,3102
225,847251039262605312,19027,3929
226,847157206088847362,18406,5268
227,847116187444137987,19917,2889
228,846874817362120707,18667,3562
229,846514051647705089,41298,10423
230,846505985330044928,13101,2771
231,846153765933735936,29177,8201
232,846139713627017216,28881,9190
233,846042936437604353,14845,2598
234,845812042753855489,27100,7895
235,845677943972139009,23491,4397
236,845397057150107648,7103,1624
237,845306882940190720,21671,4875
238,845098359547420673,0,6959
239,844979544864018432,12704,2320
240,844973813909606400,13966,2865
241,844580511645339650,15326,2824
242,844223788422217728,12729,1994
243,843981021012017153,14159,2706
244,843856843873095681,20007,4179
245,843604394117681152,15748,2488
246,843235543001513987,20017,5435
247,842846295480000512,14251,3321
248,842765311967449089,6310,1178
249,842535590457499648,16962,3194
250,842163532590374912,22791,5278
251,842115215311396866,13066,2766
252,841833993020538882,0,13622
253,841680585030541313,24091,7177
254,841439858740625411,11778,3346
255,841320156043304961,18461,5038
256,841314665196081154,14783,4250
257,841077006473256960,21391,4901
258,840761248237133825,0,1625
259,840728873075638272,0,14647
260,840698636975636481,165,2
261,840696689258311684,11513,892
262,840632337062862849,8448,1625
263,840370681858686976,15374,4193
264,840268004936019968,17954,5239
265,839990271299457024,12566,2078
266,839549326359670784,25651,7101
267,839290600511926273,0,133
268,839239871831150596,25305,5962
269,838952994649550848,18417,3670
270,838921590096166913,10449,1861
271,838916489579200512,0,31
272,838831947270979586,0,10073
273,838561493054533637,10277,1234
274,838476387338051585,21038,4360
275,838201503651401729,0,9239
276,838150277551247360,1572,304
277,838085839343206401,133,1
278,838083903487373313,16517,2856
279,837820167694528512,31925,7176
280,837482249356513284,3620,409
281,837471256429613056,12019,2068
282,837110210464448512,15098,2185
283,836989968035819520,11985,2123
284,836753516572119041,18177,4276
285,836677758902222849,11876,2030
286,836648853927522308,0,509
287,836397794269200385,0,25180
288,836380477523124226,13937,2753
289,836260088725786625,20017,3992
290,836001077879255040,17944,3907
291,835685285446955009,0,7453
292,835574547218894849,16697,3311
293,835536468978302976,0,1551
294,835309094223372289,0,19236
295,835297930240217089,15474,2751
296,835264098648616962,7256,1551
297,835246439529840640,1993,63
298,835172783151792128,24633,5317
299,835152434251116546,21008,2771
300,834931633769889797,10131,1497
301,834786237630337024,20270,5124
302,834574053763584002,12846,2322
303,834477809192075265,0,9806
304,834458053273591808,9051,1555
305,834209720923721728,19310,4346
306,834167344700198914,14869,3375
307,834089966724603904,9469,1972
308,834086379323871233,12273,2046
309,833863086058651648,12658,2219
310,833826103416520705,17118,3498
311,833732339549220864,0,205
312,833722901757046785,19735,3009
313,833479644947025920,14048,1898
314,833124694597443584,19041,4458
315,832998151111966721,12468,2026
316,832769181346996225,0,38
317,832757312314028032,15894,3333
318,832682457690300417,11170,2673
319,832645525019123713,2747,485
320,832636094638288896,14944,2574
321,832397543355072512,11267,2041
322,832369877331693569,16122,2934
323,832273440279240704,10678,2153
324,832215909146226688,0,5744
325,832215726631055365,0,8613
326,832088576586297345,59,2
327,832040443403784192,0,8853
328,832032802820481025,16807,4314
329,831939777352105988,22517,5673
330,831926988323639298,319,34
331,831911600680497154,25904,5998
332,831670449226514432,9817,1692
333,831650051525054464,6700,1793
334,831552930092285952,8475,2168
